Period,Strategy,Parameters,NetProfit,Trades,Win%,ProfitFactor,Expectancy,MaxDD,Sharpe,MAR
Training,ORB 15-Min,duration=15,-58993.37,1246,0.48,0.00,-47.35,58993.37,-43.27,-1.00
Training,ORB 30-Min,duration=30,-52825.29,1126,0.09,0.00,-46.91,52825.29,-49.13,-1.00
Training,ORB 45-Min,duration=45,-49376.37,1045,0.00,0.00,-47.25,49376.37,-53.17,-1.00
Training,EMA Trend 10/50,fast=10;slow=50,204790529.52,11325,95.06,3159.62,18083.05,990.44,56.35,206766.76
Training,EMA Trend 10/100,fast=10;slow=100,321018956.55,17379,96.79,5119.89,18471.66,817.59,71.00,392641.59
Training,EMA Trend 10/200,fast=10;slow=200,485623618.59,25825,97.90,8190.51,18804.40,878.95,89.11,552504.24
Training,EMA Trend 20/50,fast=20;slow=50,242704019.59,13184,95.78,3787.46,18408.98,986.39,61.18,246052.45
Training,EMA Trend 20/100,fast=20;slow=100,341401635.34,18415,96.95,5457.39,18539.32,835.44,73.42,408648.25
Training,EMA Trend 20/200,fast=20;slow=200,500719109.63,26572,98.01,8532.49,18843.86,564.36,90.91,887236.49
Training,EMA Trend 30/50,fast=30;slow=50,270493458.56,14593,96.20,4333.02,18535.84,802.26,64.67,337164.96
Training,EMA Trend 30/100,fast=30;slow=100,365645960.47,19736,97.19,5891.30,18526.85,699.24,76.32,522916.58
Training,EMA Trend 30/200,fast=30;slow=200,517747442.79,27375,98.07,8764.38,18913.15,1103.88,92.80,469023.74
Training,SuperTrend 10/2.0,period=10;multiplier=2.0,60114208.09,3922,85.90,903.13,15327.44,1009.99,30.58,59519.36
Training,SuperTrend 10/3.0,period=10;multiplier=3.0,102452093.70,6086,90.90,1536.48,16834.06,1009.99,39.87,101438.30
Training,SuperTrend 10/4.0,period=10;multiplier=4.0,170318311.07,9483,94.12,2605.39,17960.38,1009.99,51.17,168632.97
Training,SuperTrend 14/2.0,period=14;multiplier=2.0,53839953.78,3608,84.73,808.53,14922.38,1009.99,28.98,53307.19
Training,SuperTrend 14/3.0,period=14;multiplier=3.0,93531927.88,5642,90.18,1401.17,16577.80,1009.99,38.15,92606.41
Training,SuperTrend 14/4.0,period=14;multiplier=4.0,155753727.42,8768,93.66,2365.65,17763.88,1009.99,49.01,154212.50
